20141227	34.044	-106.953	5.00	0.88
20141220	34.241	-106.834	5.00	0.04
20141218	33.874	-107.107	5.00	1.14
20141209	34.300	-106.584	5.00	1.13
20141207	33.993	-106.920	5.00	-0.16
20141124	34.047	-106.992	5.00	0.42
20141124	34.082	-106.904	5.00	-0.79
20141120	34.257	-106.819	5.00	2
20141119	34.169	-107.049	5.00	1.18
20141117	33.894	-103.968	5.00	1.2
20141116	34.425	-103.509	5.00	1.73
20141114	34.274	-106.811	5.00	1.77
20141112	34.160	-106.821	5.00	1.79
20141112	34.176	-106.825	5.00	1.84
20141111	33.876	-106.960	5.00	0.3
20141110	34.529	-107.297	5.00	-0.1
20141107	34.251	-106.828	5.00	0.62
20141107	34.215	-106.968	9.90	1.51
20141107	34.109	-107.041	5.00	-0.01
20141101	34.338	-106.853	5.00	1.59
20141030	34.089	-106.904	5.00	0.22
20141029	34.094	-106.508	5.00	1.67
20141028	34.037	-106.936	5.00	1.08
20141025	34.032	-106.906	5.00	0.11
20141024	34.022	-106.799	5.00	0.43
20141023	33.962	-106.951	10.20	-0.22
20141023	33.931	-107.059	5.00	-0.13
20141022	34.177	-107.012	5.00	1.03
20141021	34.034	-106.834	5.00	0.34
20141020	34.347	-106.847	5.00	1.21
20141016	34.321	-106.857	5.00	0.84
20141016	35.215	-107.626	18.06	0.15
20141014	34.219	-106.842	5.00	0.46
20141013	34.060	-107.022	5.00	-0.17
20141011	34.194	-106.835	5.00	-0.14
20141010	33.938	-107.614	5.00	-0.33
20141008	34.262	-106.817	5.00	1.44
20141008	34.935	-105.899	5.00	0.97
20141008	33.986	-106.887	5.00	0.38
20141007	34.190	-106.861	5.00	0.54
20141006	34.221	-106.935	5.00	-0.22
20141004	34.061	-106.566	5.00	0.13
20141004	33.998	-106.510	5.00	0.05
20141003	33.999	-106.344	5.00	0.45
20141001	34.193	-106.823	5.00	1.79
20140927	33.992	-106.841	5.00	-0.17
20140927	34.165	-106.811	5.00	0.3
20140927	34.264	-107.031	5.00	0.16
20140927	33.987	-106.886	5.00	-0.07
20140926	34.282	-106.834	5.00	0.65
20140926	33.980	-106.869	5.00	0.5
20140924	34.038	-106.908	5.00	-0.22
20140923	34.266	-106.830	5.00	0.97
20140921	34.014	-106.375	5.00	0.17
20140920	34.447	-106.875	5.00	0.55
20140919	34.256	-106.838	5.00	0.58
20140917	33.987	-106.282	5.00	0.68
20140917	34.127	-106.591	5.00	1.03
20140917	34.305	-106.976	5.00	-0.52
20140917	34.120	-107.073	13.78	-0.07
20140916	34.267	-106.833	5.00	0.64
20140915	34.053	-106.924	5.00	1.28
20140915	34.221	-106.814	5.00	0.43
20140915	33.587	-106.482	5.00	0.11
20140913	34.229	-106.803	5.00	0.82
20140912	33.898	-106.314	5.00	0.83
20140912	34.251	-106.825	5.00	0.32
20140909	34.121	-107.070	8.75	-0.59
20140905	34.277	-106.834	5.00	1.43
20140905	33.918	-106.873	5.00	0.14
20140904	35.905	-106.678	5.00	1.66
20140904	33.813	-106.830	5.00	0.13
20140904	34.009	-107.026	5.00	-0.22
20140904	33.941	-106.928	5.00	-0.21
20140903	34.208	-106.831	5.00	0.55
20140902	33.602	-106.232	5.00	-0.45
20140902	34.054	-106.984	5.00	0.46
20140902	34.947	-106.932	5.00	1.61
20140902	33.545	-105.444	5.00	0.83
20140902	33.742	-106.593	5.00	0.23
20140901	34.103	-107.024	5.00	-0.27
20140829	34.423	-106.569	5.00	0.3
20140829	34.049	-106.924	5.00	1.05
20140829	33.477	-106.251	5.00	0.96
20140828	34.306	-106.852	5.00	1.4
20140827	34.496	-106.916	5.00	0.31
20140827	34.045	-105.752	5.00	0.82
20140826	33.677	-106.418	5.00	1.19
20140824	34.260	-105.775	5.00	0.82
20140824	34.005	-106.769	5.00	0.51
20140824	34.148	-106.380	5.00	0.16
20140824	33.923	-106.888	5.00	-0.09
20140824	35.334	-106.593	5.00	1.19
20140823	34.260	-106.814	5.00	1.59
20140822	34.316	-107.022	5.00	0.03
20140822	34.026	-107.037	5.00	0.56
20140820	34.046	-107.187	5.00	0.9
20140818	34.583	-106.743	5.00	1.02
20140816	34.027	-106.343	5.00	0.66
20140815	34.301	-106.811	5.00	2.07
20140815	34.225	-106.850	5.00	1.81
20140815	33.904	-106.915	5.00	-0.03
20140814	34.009	-106.772	5.00	0.59
20140812	34.048	-106.765	5.00	0.69
20140811	34.011	-106.982	5.00	-0.24
20140810	35.363	-106.280	5.00	1.03
20140810	34.034	-106.953	5.00	-0.14
20140809	34.041	-106.934	5.00	0.16
20140809	34.304	-106.839	5.00	1.4
20140809	33.802	-106.868	5.00	-0.51
20140809	34.502	-103.659	5.00	1.74
20140809	34.294	-106.992	5.00	-0.22
20140808	34.038	-106.948	5.00	-0.22
20140808	34.304	-106.996	5.00	-0.33
20140807	34.360	-106.843	5.00	1.74
20140807	33.318	-106.512	5.00	1.16
20140806	34.438	-106.744	5.00	0.41
20140805	34.307	-107.229	5.00	-0.33
20140805	34.045	-106.934	5.00	0.49
20140805	34.171	-107.231	5.00	-0.62
20140805	34.177	-107.241	5.00	-0.44
20140805	33.666	-106.638	5.00	0.06
20140805	34.045	-106.931	5.00	-0.05
20140805	34.225	-106.981	13.60	-0.47
20140805	34.058	-106.927	5.00	-0.1
20140805	34.043	-106.934	5.00	0.43
20140803	33.832	-106.766	5.00	0.15
20140803	34.459	-106.429	5.00	0.71
20140801	33.871	-106.631	5.00	0.53
20140801	34.328	-107.018	5.00	-0.01
20140730	35.890	-106.750	5.00	1.95
20140729	34.101	-106.249	5.00	0.79
20140728	34.305	-107.017	5.00	0.15
20140727	34.030	-107.033	5.00	0.38
20140727	34.030	-107.043	5.00	1.02
20140727	33.927	-106.325	5.00	0.79
20140727	34.038	-107.063	5.00	0.04
20140726	34.058	-106.740	5.00	0.88
20140726	34.107	-106.415	5.00	0.11
20140725	34.069	-106.913	5.00	0.81
20140725	34.636	-106.890	5.00	0.54
20140725	34.451	-106.686	5.00	0.53
20140725	34.215	-105.700	5.00	-0.23
20140724	35.909	-106.684	5.00	1.56
20140724	34.418	-106.726	5.00	1.26
20140722	34.015	-106.868	5.00	0.02
20140722	34.067	-106.807	5.00	0.02
20140721	35.125	-106.783	5.00	1.4
20140719	34.048	-106.716	5.00	0.18
20140718	34.047	-106.926	5.00	2.05
20140717	35.901	-106.742	5.00	1.83
20140717	34.397	-105.786	5.00	0.89
20140714	34.839	-107.426	5.00	0.86
20140712	34.848	-107.404	5.00	1.04
20140711	34.464	-106.671	5.00	0.48
20140708	34.211	-106.819	5.00	1.26
20140628	33.640	-107.824	5.00	-0.17
20140628	34.045	-106.960	5.00	0.21
20140625	34.348	-106.706	5.00	1.28
20140625	33.844	-105.418	5.00	1.28
20140625	34.056	-106.417	5.00	0.97
20140622	34.214	-106.235	5.00	0.47
20140619	34.167	-106.219	5.00	1.18
20140618	34.151	-106.680	5.00	0.95
20140618	33.936	-106.472	5.00	0.29
20140617	35.150	-106.853	5.00	2.05
20140617	34.347	-106.334	5.00	0.87
20140617	34.351	-107.057	5.00	0.98
20140613	34.573	-106.848	5.00	2.19
20140611	33.378	-106.598	5.00	1.08
20140610	33.958	-106.813	5.00	0.77
20140608	33.996	-106.840	5.00	0.43
20140605	34.050	-106.927	5.00	1.29
20140602	34.052	-106.922	5.00	1.23
20140601	34.188	-106.371	5.00	0.37
20140531	34.736	-107.087	5.00	0.65
20140530	33.375	-105.664	5.00	1.92
20140528	34.071	-106.966	5.00	1.01
20140526	34.143	-106.965	5.00	0.18
20140526	33.991	-106.788	5.00	0.37
20140525	34.315	-106.956	11.41	0.98
20140519	34.416	-106.862	5.00	0.39
20140518	34.091	-106.950	5.00	-0.02
20140516	34.050	-107.176	5.00	1.42
20140516	33.877	-106.928	5.00	1.94
20140510	33.769	-106.942	5.00	-0.38
20140113	34.380	-107.356	15.34	1.24
20140112	35.057	-107.480	5.00	1.51
20140109	34.755	-107.215	5.00	1.56
20140109	35.265	-107.672	5.00	1.3
20140108	34.283	-106.867	5.00	-0.07
20140107	34.002	-106.805	5.00	-0.03
20140105	34.257	-106.737	5.00	-0.4
20140104	34.328	-106.717	5.00	0.32
20140104	34.424	-106.689	17.46	0.41
20140104	35.062	-107.495	5.00	1.03
20140104	35.212	-107.572	5.00	1.59
20140103	34.287	-106.931	5.00	-0.01
20140101	34.486	-107.103	5.00	0.25
20131231	34.484	-107.004	5.00	0.88
20131228	33.796	-107.068	5.00	1.43
20131227	34.873	-107.321	5.00	1.37
20131227	33.937	-106.842	5.00	0.03
20131226	34.467	-106.772	5.00	0.18
20131225	34.120	-106.898	5.00	-0.29
20131225	34.133	-106.889	5.00	-0.07
20131225	34.095	-106.829	5.00	-0.62
20131225	34.070	-106.893	5.00	-0.82
20131224	34.438	-107.116	0.93	0.27
20131223	34.294	-106.815	5.00	0.04
20131222	35.011	-107.458	5.00	1
20131222	34.304	-107.022	5.00	-0.01
20131222	33.949	-106.926	5.00	0.13
20131221	33.977	-106.977	5.00	-0.08
20131221	34.311	-107.016	5.00	0.62
20131221	34.319	-107.011	5.00	0.19
20131221	34.300	-107.025	5.00	0.92
20131221	34.306	-107.019	5.00	-0.09
20131220	34.311	-107.023	5.00	0.15
20131220	34.305	-107.022	5.00	0.4
20131220	34.304	-107.025	5.00	0.35
20131220	34.932	-107.397	5.00	1.08
20131220	34.304	-107.024	5.00	-0.03
20131220	34.324	-107.007	5.00	0.5
20131220	34.303	-107.023	5.00	0.25
20131219	35.087	-107.507	5.00	1.58
20131218	34.969	-107.423	5.00	1.22
20131218	34.804	-107.140	5.00	0.8
20131217	34.779	-107.225	5.00	0.88
20131216	33.922	-106.826	5.00	-0.43
20131214	34.629	-107.412	5.00	0.72
20131213	33.519	-106.385	5.00	1.1
20131212	34.825	-107.269	5.00	1.16
20131210	34.442	-107.109	5.00	0.65
20131206	35.023	-107.486	5.00	1.46
20131203	34.271	-106.585	5.61	0.74
20131203	34.320	-106.521	9.15	0.86
20131202	34.141	-106.884	5.00	0.53
20131201	34.015	-106.785	5.00	0.15
20131128	34.056	-106.963	7.20	-0.01
20131127	35.029	-107.141	15.90	1.13
20131126	33.968	-106.898	5.00	0.72
20131121	34.703	-107.792	5.00	0.93
20131121	35.013	-107.502	5.00	1.54
20131117	34.428	-107.116	0.89	0.15
20131116	34.093	-106.912	5.00	-0.78
20131115	34.245	-106.763	5.00	0.69
20131115	34.240	-106.763	5.00	0.02
20131115	34.083	-106.810	5.00	1.09
20131115	34.247	-106.763	5.00	0.8
20131114	34.124	-106.609	5.00	0.54
20131114	34.146	-106.941	5.00	-0.67
20131114	34.107	-106.921	5.00	-0.42
20131114	34.363	-107.274	5.00	-0.55
20131111	34.190	-106.968	5.00	1.27
20131109	34.121	-106.925	5.00	0.11
20131108	33.988	-106.790	5.00	0.83
20131108	34.382	-107.129	5.00	-0.06
20131107	34.785	-107.816	5.00	1.23
20131106	34.112	-107.026	7.39	-0.23
20131105	34.919	-107.409	5.00	1.45
20131103	34.055	-107.005	3.52	-0.07
20131102	34.052	-107.000	5.00	0.24
20131102	34.267	-106.702	5.00	0.26
20131101	34.293	-106.731	3.92	0.58
20131101	33.994	-106.968	2.99	0.62
20131031	34.410	-105.926	5.00	1.14
20131030	35.320	-107.722	5.00	1.63
20131029	34.825	-107.337	5.00	1.18
20131028	34.063	-106.991	5.00	1.18
20131027	34.232	-106.936	5.00	0.02
20131026	35.221	-107.632	5.00	1.51
20131024	34.018	-107.046	8.66	0.25
20131023	34.069	-106.994	5.00	1.33
20131023	34.030	-106.848	3.07	0.76
20131023	34.035	-106.838	5.00	0.42
20131022	35.156	-107.587	5.00	1.33
20131022	34.047	-106.830	5.00	-0.53
20131022	34.041	-106.836	5.00	0.86
20131022	34.050	-106.827	5.00	-0.05
20131022	34.047	-106.832	5.00	0.2
20131022	34.049	-106.830	5.00	0.88
20131021	34.044	-106.832	5.00	0.16
20131021	34.037	-106.837	5.00	0.59
20131021	34.043	-106.802	5.00	0.06
20131020	34.023	-106.946	11.33	-0.27
20131019	33.940	-106.976	5.00	0.56
20131018	34.298	-106.714	5.00	-0.05
20131015	34.178	-106.567	5.00	1.21
20131014	33.897	-106.963	5.00	0.51
20131013	35.061	-107.532	5.00	1.21
20131012	33.939	-106.974	5.00	0.33
20131012	33.975	-106.944	3.52	0.84
20131012	34.057	-107.004	4.50	-0.13
20131011	33.706	-106.491	5.00	0.94
20131011	34.180	-106.866	5.00	0.34
20131011	33.964	-106.877	5.00	-0.36
20131011	33.977	-106.940	4.98	1.04
20131009	35.018	-107.494	5.00	1.09
20131006	34.981	-107.443	5.00	1.16
20131005	33.975	-106.962	5.51	0.54
20131004	34.091	-106.861	4.99	0.6
20131003	33.973	-106.968	5.00	0.46
20131003	33.974	-106.962	4.65	0.9
20131003	34.038	-107.019	5.00	0.56
20131002	35.243	-107.613	5.00	1.86
20131002	35.283	-107.656	5.00	1.2
20131002	34.290	-106.915	5.00	0.7
20131002	33.977	-106.963	6.16	0.72
20131001	33.974	-106.964	5.00	0.12
20131001	34.289	-106.915	4.96	1.04
20131001	34.251	-106.809	5.00	0.03
20131001	34.290	-106.916	2.92	1.33
20130930	34.282	-106.882	5.00	0.26
20130926	34.297	-106.909	5.00	0.5
20130926	34.394	-106.871	5.00	0.05
20130926	34.345	-106.718	5.00	1.23
20130925	34.376	-106.661	5.00	0.14
20130924	34.572	-106.924	5.00	0.5
20130924	33.862	-106.639	5.00	0.7
20130924	33.881	-106.681	5.71	0.66
20130924	33.870	-106.680	3.41	0.46
20130924	34.002	-106.906	5.00	0.14
20130923	34.190	-106.866	5.00	0.11
20130922	34.721	-108.041	5.00	-0.71
20130922	34.541	-107.684	5.00	-0.63
20130920	34.066	-106.964	5.00	0.36
20130920	34.028	-106.991	5.00	0.65
20130918	34.151	-107.987	5.00	1
20130915	34.230	-107.179	5.00	2.03
20130914	34.213	-107.237	5.00	2.59
20130912	34.038	-106.989	5.00	0.73
20130910	34.175	-106.865	5.00	0.28
20130909	34.312	-106.690	5.00	-0.27
20130909	34.315	-106.687	5.00	0.66
20130907	34.192	-106.867	5.00	0.19
20130907	34.581	-107.551	5.00	0.41
20130906	34.511	-105.934	5.00	1.05
20130906	34.032	-107.063	9.21	0.38
20130905	36.161	-107.781	5.00	0.49
20130905	34.105	-106.987	5.85	-0.03
20130905	34.267	-107.109	5.00	2.44
20130904	34.046	-106.979	5.00	1.85
20130904	34.003	-106.986	8.96	0.66
20130904	34.244	-106.886	5.92	0.9
20130904	34.215	-107.288	5.00	1.58
20130904	34.229	-107.176	5.00	1.44
20130904	34.250	-107.079	5.00	2.42
20130904	34.035	-106.998	5.00	2.34
20130904	34.287	-107.084	5.00	2.57
20130902	34.450	-106.722	5.00	0.58
20130902	34.348	-107.166	5.00	2.4
20130901	34.102	-106.895	5.00	1.63
20130901	33.970	-106.852	5.00	2.25
20130831	33.988	-106.910	5.00	2.45
20130831	34.242	-107.199	5.00	1.81
20130830	33.457	-105.757	5.00	1.42
20130829	34.258	-107.076	5.00	1.89
20130827	34.304	-107.137	5.00	2.3
20130826	34.384	-107.061	5.00	0.27
20130826	34.441	-107.067	5.00	0.58
20130826	34.191	-107.520	5.00	1.19
20130825	34.363	-106.726	5.00	0.4
20130825	34.448	-107.069	5.00	0.31
20130825	33.543	-106.274	5.00	0.87
20130824	34.021	-106.919	5.00	0.42
20130823	33.047	-105.699	5.00	2.19
20130823	33.926	-106.605	5.00	0.4
20130822	33.897	-107.703	5.00	0.51
20130822	33.895	-107.322	5.00	0.47
20130822	33.813	-107.910	5.00	0.59
20130822	33.918	-107.408	7.77	0.64
20130822	34.052	-106.758	5.00	1.15
20130822	34.056	-106.981	5.00	-1.34
20130821	34.007	-106.998	10.88	0.04
20130819	34.126	-106.814	5.00	1.82
20130816	33.864	-106.874	5.00	2.33
20130813	34.220	-106.773	5.00	2.74
20130813	34.356	-106.728	5.00	0.36
20130813	34.046	-106.924	9.57	0.32
20130813	33.929	-106.617	3.17	1.16
20130812	34.184	-106.537	7.23	0.66
20130812	33.904	-106.595	1.47	0.38
20130810	33.926	-106.619	2.75	0.83
20130810	34.280	-106.917	5.00	0.31
20130809	34.061	-106.995	5.00	0.86
20130808	33.934	-106.613	5.00	0.89
20130808	33.928	-106.621	5.00	0.27
20130808	33.926	-106.623	4.14	0.91
20130808	34.133	-107.073	5.00	0.26
20130808	34.106	-107.041	2.84	0.27
20130808	34.096	-106.996	5.00	0
20130806	34.057	-106.991	5.00	1.23
20130806	34.040	-106.798	5.00	2.59
20130804	34.110	-106.921	5.00	1.29
20130804	34.326	-107.077	5.00	2.42
20130803	34.184	-106.865	5.00	0.48
20130803	33.932	-106.635	3.15	0.77
20130730	34.138	-106.640	5.00	0.44
20130730	33.915	-106.624	7.35	0.75
20130730	33.929	-106.605	5.00	0.99
20130729	33.933	-106.623	5.00	0.36
20130729	34.272	-106.925	5.00	0.64
20130727	33.937	-106.608	5.00	0.48
20130726	34.175	-106.864	5.00	1.11
20130726	34.175	-106.867	5.00	0.97
20130726	34.182	-106.868	5.00	0.37
20130725	33.924	-106.613	5.00	0.54
20130725	33.927	-106.620	3.86	0.76
20130724	34.946	-107.401	5.00	1.22
20130724	33.927	-106.616	5.00	0.19
20130724	34.124	-106.864	8.29	0.31
20130723	33.923	-106.623	4.54	1.59
20130722	33.937	-106.623	1.60	2.12
20130722	33.879	-106.568	5.00	1.61
20130722	33.935	-106.621	2.26	1.54
20130721	33.927	-106.619	1.43	1.75
